reading samples from samples.dat, ignoring first 50
mean: -153.21072247395253
blocked statistics:
block size    # of blocks        mean                error
     1            950       -1.53210722e+02       2.732354e-04
     2            475       -1.53210722e+02       2.725721e-04
     5            190       -1.53210722e+02       2.838435e-04
    10             95       -1.53210722e+02       2.474677e-04
    20             47       -1.53210724e+02       2.319924e-04
    50             19       -1.53210722e+02       2.783906e-04
    70             13       -1.53210747e+02       2.886454e-04
   100              9       -1.53210726e+02       3.691794e-04
   200              4       -1.53210824e+02       5.237806e-04
