User:
nsb37
Hostname:

CPU info:
Architecture:          x86_64
CPU op-mode(s):        32-bit, 64-bit
Byte Order:            Little Endian
CPU(s):                16
On-line CPU(s) list:   0-15
Thread(s) per core:    2
Core(s) per socket:    8
Socket(s):             1
NUMA node(s):          1
Vendor ID:             GenuineIntel
CPU family:            6
Model:                 85
Model name:            Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz
Stepping:              4
CPU MHz:               1535.765
Computation started at:
Wed 25 Nov 11:26:53 GMT 2020
git commit: 2dc9da2c14d8b29bbb58a979480699b27e79f1a4, branch: master, compiled at: Wed 25 Nov 11:13:16 GMT 2020

Number of MPI processes used: 4

{
    "sampling": {
        "tau": "0.001",
        "maxIter": "15000",
        "seed": "300",
        "shiftDamping": "0.01",
        "initialShift": "0.0",
        "initialPop": "500.0",
        "targetPop": "10000.0",
        "mainMemoryFac": "10.0",
        "spawnMemoryFac": "10.0",
        "initiator": "true",
        "heatBath": "true"
    }
}

Starting heat bath construction
Heat bath construction done
Hartree--Fock energy: -76.0268

Starting heat bath excitation generator construction...
Heat bath excitation generator construction finished.
#  1. Iter     2. nDets  3. nSpawned           4. Shift_1        5. nWalkers_1      6. Energy_Num_1    7. Energy_Denom_1    8. Time
        59          729          868       -76.0267720534      1397.1022411071    -38066.9027123171       500.3915882501     0.0009
        60          737          835       -76.0267720534      1408.0828136165    -38067.3313931327       500.3915882501     0.0008
        61          745          841       -76.0267720534      1424.5284556766    -38076.7741355131       500.5111923335     0.0008
        62          756          857       -76.0267720534      1438.4223365508    -38077.1727870842       500.5111923335     0.0007
        63          763          871       -76.0267720534      1451.1520818099    -38077.4576651138       500.5111923335     0.0008
        64          775          910       -76.0267720534      1465.3206021626    -38080.9253114336       500.5512963350     0.0008
        65          779          920       -76.0267720534      1480.4784856265    -38081.2565360121       500.5512963350     0.0008
        66          788          932       -76.0267720534      1494.0842036261    -38086.1684831618       500.6117953679     0.0008
        67          802          940       -76.0267720534      1508.3704728949    -38089.5987362820       500.6532137781     0.0007
        68          809          917       -76.0267720534      1521.6729148361    -38094.3689149878       500.7117769337     0.0008
        69          828          926       -76.0267720534      1547.5057437238    -38094.8683871381       500.7117769337     0.0009
        70          841          965       -76.0267720534      1564.3057482735    -38101.8254399085       500.7982935444     0.0008
        71          852          991       -76.0267720534      1576.6028199313    -38102.1257616176       500.7982935444     0.0008
        72          867          988       -76.0267720534      1598.5212302066    -38098.9565098700       500.7524142754     0.0008
        73          874         1033       -76.0267720534      1608.0770687847    -38099.2802673887       500.7524142754     0.0008
        74          878         1005       -76.0267720534      1617.1134610569    -38099.4974288162       500.7524142754     0.0010
        75          885         1020       -76.0267720534      1629.4472014703    -38099.8361743585       500.7524142754     0.0008
        76          896         1097       -76.0267720534      1642.3165169544    -38100.1478036880       500.7524142754     0.0008
        77          901         1063       -76.0267720534      1653.4009981911    -38103.4751731301       500.7909059298     0.0009
        78          907         1050       -76.0267720534      1664.2615776635    -38103.9455291801       500.7909059298     0.0009
        79          911         1071       -76.0267720534      1678.1459932996    -38104.2572766323       500.7909059298     0.0009
        80          920         1055       -76.0267720534      1693.7075825802    -38104.5407339359       500.7909059298     0.0008
        81          937         1100       -76.0267720534      1714.6098947838    -38109.9927700825       500.8567891522     0.0008
        82          950         1088       -76.0267720534      1730.8071146519    -38110.3131739531       500.8567891522     0.0009
        83          955         1039       -76.0267720534      1744.0446489126    -38110.6566490981       500.8567891522     0.0010
        84          961         1155       -76.0267720534      1748.6326942485    -38115.0469641012       500.9124590750     0.0008
        85          966         1106       -76.0267720534      1763.6032064842    -38115.2992797195       500.9124590750     0.0008
        86          977         1124       -76.0267720534      1780.3564978255    -38112.2083386371       500.8665798059     0.0009
        87          984         1115       -76.0267720534      1789.0468435199    -38121.1939686350       500.9816918646     0.0012
        88          990         1169       -76.0267720534      1803.2326240552    -38121.5521475190       500.9816918646     0.0009
        89         1005         1172       -76.0267720534      1816.5713376398    -38121.8847956140       500.9816918646     0.0009
        90         1008         1177       -76.0267720534      1831.2846808042    -38125.7743848336       501.0291953301     0.0009
        91         1019         1172       -76.0267720534      1849.3841752507    -38130.1636132028       501.0823846090     0.0010
        92         1037         1181       -76.0267720534      1871.0835871736    -38130.5276139854       501.0823846090     0.0009
        93         1044         1208       -76.0267720534      1886.9542392075    -38141.2320610987       501.2190755482     0.0009
        94         1058         1228       -76.0267720534      1902.0333906001    -38146.2369263390       501.2816833170     0.0009
        95         1070         1184       -76.0267720534      1917.7620321795    -38146.5354715513       501.2816833170     0.0009
        96         1077         1191       -76.0267720534      1930.6517664066    -38150.7019524559       501.3329733262     0.0010
        97         1088         1235       -76.0267720534      1945.5941311666    -38157.1728646477       501.4148375639     0.0009
        98         1101         1231       -76.0267720534      1966.1383874165    -38157.4426299145       501.4148375639     0.0009
        99         1113         1257       -76.0267720534      1982.3553873463    -38166.5297154258       501.5302147764     0.0010
       100         1126         1247       -76.0267720534      1997.9573712112    -38166.8660599321       501.5302147764     0.0010
       101         1144         1286       -76.0267720534      2023.3593427894    -38170.5161535944       501.5737332762     0.0010
       102         1160         1279       -76.0267720534      2043.6774517327    -38179.0429921139       501.6826696381     0.0009
       103         1170         1296       -76.0267720534      2059.5780081009    -38183.1690049280       501.7340546644     0.0009
       104         1186         1322       -76.0267720534      2074.4711422151    -38183.3537984076       501.7340546644     0.0010
       105         1195         1358       -76.0267720534      2092.2002388126    -38183.6042131012       501.7340546644     0.0010
       106         1202         1343       -76.0267720534      2101.3235333770    -38183.7852847741       501.7340546644     0.0010
       107         1217         1376       -76.0267720534      2122.9972551023    -38187.8028268192       501.7826754535     0.0010
       108         1240         1358       -76.0267720534      2150.3285257610    -38188.1860482584       501.7826754535     0.0011
       109         1250         1406       -76.0267720534      2166.2903965728    -38191.9078230076       501.8283126385     0.0010
       110         1266         1430       -76.0267720534      2193.8294801601    -38205.3293291869       502.0004444173     0.0010
       111         1286         1422       -76.0267720534      2214.0906657805    -38209.9010028007       502.0571719563     0.0010
       112         1298         1452       -76.0267720534      2232.5706947410    -38210.1221238095       502.0571719563     0.0011
       113         1317         1494       -76.0267720534      2253.1651656378    -38210.5221772526       502.0571719563     0.0010
       114         1325         1481       -76.0267720534      2261.7607160573    -38210.7091308651       502.0571719563     0.0010
       115         1338         1448       -76.0267720534      2283.6832105944    -38217.5604922189       502.1437158655     0.0011
       116         1350         1526       -76.0267720534      2301.1106724060    -38222.3162615679       502.2026982754     0.0010
       117         1357         1490       -76.0267720534      2309.2961272531    -38222.5263946132       502.2026982754     0.0011
       118         1370         1523       -76.0267720534      2331.6081765775    -38226.8789591077       502.2556724127     0.0010
       119         1379         1498       -76.0267720534      2341.7974162013    -38231.1938352431       502.3088578028     0.0011
       120         1394         1572       -76.0267720534      2365.1852183220    -38231.4182518706       502.3088578028     0.0010
       121         1411         1523       -76.0267720534      2380.2357893785    -38231.6598378227       502.3088578028     0.0011
       122         1419         1579       -76.0267720534      2399.4435831003    -38240.9160162330       502.4274866694     0.0011
       123         1435         1581       -76.0267720534      2419.0285582961    -38241.2884788688       502.4274866694     0.0012
       124         1446         1627       -76.0267720534      2437.5790575386    -38245.4739313858       502.4786578467     0.0011
       125         1458         1552       -76.0267720534      2453.0127588463    -38250.4417640417       502.5402976851     0.0011
       126         1480         1662       -76.0267720534      2481.7071887440    -38250.8796620160       502.5402976851     0.0012
       127         1494         1625       -76.0267720534      2497.4810685389    -38259.9628507999       502.6567808241     0.0011
       128         1509         1665       -76.0267720534      2512.0522095459    -38260.2098102887       502.6567808241     0.0011
       129         1517         1682       -76.0267720534      2531.5667111550    -38263.4381429753       502.6957679324     0.0011
       130         1534         1649       -76.0267720534      2550.3507401854    -38266.6496523801       502.7353412792     0.0012
       131         1549         1686       -76.0267720534      2573.2512055332    -38276.8338126238       502.8666863278     0.0011
       132         1563         1717       -76.0267720534      2583.5206971207    -38277.0218686245       502.8666863278     0.0011
       133         1571         1729       -76.0267720534      2599.6963846767    -38280.9976062228       502.9161881363     0.0012
       134         1578         1770       -76.0267720534      2610.2056854554    -38290.3924009136       503.0379118106     0.0011
       135         1587         1718       -76.0267720534      2628.4894522472    -38299.1730399713       503.1493621598     0.0011
       136         1605         1776       -76.0267720534      2655.4557669280    -38303.5714215144       503.2025140328     0.0011
       137         1623         1820       -76.0267720534      2676.8447285013    -38303.8398455552       503.2025140328     0.0013
       138         1639         1794       -76.0267720534      2697.3705170944    -38306.8254037519       503.2384479506     0.0012
       139         1652         1766       -76.0267720534      2704.4981377596    -38307.0754495936       503.2384479506     0.0012
       140         1664         1767       -76.0267720534      2731.3883335026    -38307.3798017298       503.2384479506     0.0012
       141         1680         1861       -76.0267720534      2748.7702404586    -38312.4603479136       503.3026760960     0.0012
       142         1682         1851       -76.0267720534      2760.2155512641    -38323.1914469055       503.4411333879     0.0012
       143         1703         1843       -76.0267720534      2784.3623110920    -38327.2767437761       503.4919997780     0.0013
       144         1715         1784       -76.0267720534      2804.1825168425    -38329.9917820553       503.5252978529     0.0012
       145         1731         1848       -76.0267720534      2819.9056304118    -38330.1092419640       503.5252978529     0.0013
       146         1752         1831       -76.0267720534      2844.4506654141    -38337.0870483988       503.6146309022     0.0013
       147         1770         1915       -76.0267720534      2870.2286095393    -38341.9292771680       503.6758668186     0.0012
       148         1791         1965       -76.0267720534      2894.2745037722    -38342.1150107860       503.6758668186     0.0012
       149         1805         1942       -76.0267720534      2915.0270689998    -38346.4023774167       503.7279356774     0.0013
       150         1817         1969       -76.0267720534      2925.7674307140    -38346.6192151923       503.7279356774     0.0012
       151         1831         1958       -76.0267720534      2952.4414773325    -38346.7694505664       503.7279356774     0.0012
       152         1848         1909       -76.0267720534      2971.5150601835    -38346.9974738747       503.7279356774     0.0012
       153         1877         1996       -76.0267720534      3003.0282567290    -38347.2740774407       503.7279356774     0.0013
       154         1898         2025       -76.0267720534      3024.3028696039    -38347.5346533944       503.7279356774     0.0013
       155         1916         2037       -76.0267720534      3044.5716899950    -38352.2172065836       503.7865395865     0.0013
       156         1923         2030       -76.0267720534      3057.9906693342    -38360.1293647029       503.8890204340     0.0013
       157         1936         2004       -76.0267720534      3076.5321229714    -38360.3878194397       503.8890204340     0.0013
       158         1945         2043       -76.0267720534      3088.4903514664    -38360.6437944731       503.8890204340     0.0013
       159         1949         2096       -76.0267720534      3100.0706230360    -38365.9920850037       503.9560435444     0.0013
       160         1963         2076       -76.0267720534      3116.6851166107    -38366.1540475185       503.9560435444     0.0013
       161         1977         2113       -76.0267720534      3141.3455276125    -38366.3537874521       503.9560435444     0.0013
       162         1997         2171       -76.0267720534      3158.4556750472    -38366.5697310077       503.9560435444     0.0014
       163         2009         2143       -76.0267720534      3177.9843335028    -38375.6613140470       504.0732066974     0.0013
       164         2028         2105       -76.0267720534      3203.4822470277    -38375.8866398116       504.0732066974     0.0014
       165         2042         2227       -76.0267720534      3220.9494791202    -38378.9186853537       504.1100821836     0.0014
       166         2051         2156       -76.0267720534      3232.2447193240    -38386.8126499333       504.2110791642     0.0014
       167         2070         2184       -76.0267720534      3262.6371859886    -38394.5190993511       504.3089684089     0.0013
       168         2085         2155       -76.0267720534      3281.9843162269    -38397.4869968699       504.3455145872     0.0014
       169         2107         2214       -76.0267720534      3303.5908535991    -38397.6480536368       504.3455145872     0.0013
       170         2116         2314       -76.0267720534      3312.0063146527    -38401.1220779242       504.3886893774     0.0015
       171         2130         2281       -76.0267720534      3341.7629411858    -38401.4115742549       504.3886893774     0.0014
       172         2158         2248       -76.0267720534      3375.1734438273    -38401.6195742509       504.3886893774     0.0014
       173         2176         2302       -76.0267720534      3395.3233556129    -38404.9278298878       504.4293884208     0.0014
       174         2190         2249       -76.0267720534      3413.7575396427    -38410.3710550384       504.4987632702     0.0014
       175         2203         2348       -76.0267720534      3435.4940274714    -38420.1356042084       504.6242693981     0.0014
       176         2221         2345       -76.0267720534      3456.0522831074    -38428.9756910407       504.7386684443     0.0015
       177         2245         2344       -76.0267720534      3490.0270389902    -38438.4445305770       504.8600348425     0.0014
       178         2276         2368       -76.0267720534      3512.7760862407    -38451.3201230118       505.0273251996     0.0014
       179         2294         2419       -76.0267720534      3534.7814536688    -38451.5208655074       505.0273251996     0.0015
       180         2305         2440       -76.0267720534      3553.1704679062    -38459.4649514659       505.1281704927     0.0014
       181         2322         2382       -76.0267720534      3578.6711888346    -38464.4216051750       505.1901253132     0.0015
       182         2341         2463       -76.0267720534      3600.8190801150    -38468.9820031310       505.2472503823     0.0015
       183         2369         2421       -76.0267720534      3632.3141258341    -38472.6554459004       505.2928077445     0.0015
       184         2386         2513       -76.0267720534      3648.4472359514    -38472.8505615929       505.2928077445     0.0015
       185         2396         2504       -76.0267720534      3666.6497591020    -38473.0480480615       505.2928077445     0.0015
       186         2410         2561       -76.0267720534      3684.6256539748    -38476.0933724448       505.3301276372     0.0015
       187         2430         2546       -76.0267720534      3710.4358433521    -38479.1713745062       505.3687349491     0.0016
       188         2444         2559       -76.0267720534      3722.7435263869    -38483.0636501526       505.4179208870     0.0015
       189         2466         2577       -76.0267720534      3754.8481812648    -38487.2039682945       505.4696143369     0.0017
       190         2476         2567       -76.0267720534      3766.1276534112    -38495.9109152191       505.5821948359     0.0015
       191         2496         2518       -76.0267720534      3790.5258744947    -38499.8447208733       505.6320236874     0.0015
       192         2518         2622       -76.0267720534      3821.1028719343    -38507.9554155959       505.7350442374     0.0016
       193         2546         2643       -76.0267720534      3849.7123896472    -38508.2272673539       505.7350442374     0.0015
       194         2559         2688       -76.0267720534      3862.4495500357    -38508.4289297479       505.7350442374     0.0016
       195         2571         2673       -76.0267720534      3872.0527336569    -38515.7226305035       505.8289600001     0.0016
       196         2583         2595       -76.0267720534      3889.7694294511    -38519.3697378773       505.8737465603     0.0016
       197         2596         2640       -76.0267720534      3913.1582421970    -38523.3993853692       505.9232941829     0.0016
       198         2601         2716       -76.0267720534      3915.5850151890    -38532.0615920268       506.0360902689     0.0016
       199         2606         2672       -76.0267720534      3924.7215122096    -38536.7095231841       506.0954010010     0.0016
       200         2614         2665       -76.0267720534      3934.4350572088    -38536.8820770782       506.0954010010     0.0016
       201         2619         2696       -76.0267720534      3958.5252708756    -38541.0820521432       506.1468406607     0.0016
       202         2644         2777       -76.0267720534      3988.7095329846    -38550.4493105642       506.2667298031     0.0016
       203         2664         2733       -76.0267720534      4009.5457727670    -38562.0399104542       506.4165527287     0.0016
       204         2677         2705       -76.0267720534      4024.2602634016    -38565.6151786101       506.4617443573     0.0017
       205         2687         2691       -76.0267720534      4041.8540058375    -38573.2329370655       506.5587448769     0.0016
       206         2703         2776       -76.0267720534      4058.5086270347    -38579.9858456889       506.6453306132     0.0017
       207         2720         2801       -76.0267720534      4089.4344329870    -38584.3387337117       506.7001480279     0.0016
       208         2735         2878       -76.0267720534      4102.6400838990    -38594.4929867732       506.8320640987     0.0016
       209         2754         2898       -76.0267720534      4124.6295028798    -38608.5090380168       507.0135998460     0.0017
       210         2782         2856       -76.0267720534      4157.5792574520    -38608.6528918501       507.0135998460     0.0017
       211         2801         2881       -76.0267720534      4184.0627099068    -38612.2505407106       507.0581588098     0.0017
       212         2827         2829       -76.0267720534      4209.6257789920    -38620.2403088452       507.1599309816     0.0017
       213         2844         2880       -76.0267720534      4233.8607723438    -38626.8759929433       507.2449696872     0.0017
       214         2865         2888       -76.0267720534      4260.6268030255    -38627.1505767090       507.2449696872     0.0018
       215         2893         2872       -76.0267720534      4288.7617505052    -38636.8556849910       507.3709131243     0.0017
       216         2908         2993       -76.0267720534      4316.1147092473    -38641.4822020732       507.4293069486     0.0018
       217         2929         2985       -76.0267720534      4341.6784753483    -38654.7573659598       507.6003106767     0.0017
       218         2956         3022       -76.0267720534      4368.2408103626    -38665.0669923560       507.7343807387     0.0018
       219         2975         3021       -76.0267720534      4390.2837665942    -38675.1655691047       507.8648871062     0.0017
       220         2994         3062       -76.0267720534      4414.9549096304    -38679.4855607391       507.9186185833     0.0018
       221         3011         3113       -76.0267720534      4438.3540400817    -38684.4095023552       507.9823421485     0.0017
       222         3027         3082       -76.0267720534      4457.5675232719    -38689.3533053100       508.0458913114     0.0018
       223         3049         3056       -76.0267720534      4484.7144298420    -38689.5611115322       508.0458913114     0.0018
       224         3071         3122       -76.0267720534      4499.3697374128    -38693.7044435700       508.0978658020     0.0018
       225         3079         3082       -76.0267720534      4518.8431707542    -38697.9748810678       508.1512753607     0.0019
       226         3091         3158       -76.0267720534      4542.0555958938    -38698.1095629444       508.1512753607     0.0018
       227         3122         3168       -76.0267720534      4573.8509805409    -38706.0964303992       508.2549058630     0.0018
       228         3151         3181       -76.0267720534      4599.3855554182    -38710.1872487530       508.3053351070     0.0018
       229         3166         3179       -76.0267720534      4630.4663559459    -38714.3876849626       508.3570720022     0.0019
       230         3185         3252       -76.0267720534      4645.7908460390    -38719.6666961164       508.4232682814     0.0018
       231         3197         3232       -76.0267720534      4663.3443543034    -38726.2848263044       508.5087000849     0.0019
       232         3210         3181       -76.0267720534      4682.2227138838    -38731.1947870900       508.5715924689     0.0018
       233         3234         3268       -76.0267720534      4710.5031061152    -38731.4256533959       508.5715924689     0.0018
       234         3256         3276       -76.0267720534      4729.2423173841    -38736.8414736833       508.6406215437     0.0019
       235         3271         3239       -76.0267720534      4752.8143378226    -38737.0463503067       508.6406215437     0.0018
       236         3293         3309       -76.0267720534      4782.0233648658    -38746.4957558774       508.7632718294     0.0019
       237         3317         3303       -76.0267720534      4810.2824224240    -38746.6598078124       508.7632718294     0.0018
       238         3341         3321       -76.0267720534      4838.5923060856    -38746.8423430392       508.7632718294     0.0019
       239         3356         3340       -76.0267720534      4855.0554612131    -38746.9916325914       508.7632718294     0.0018
       240         3377         3365       -76.0267720534      4880.9652738036    -38755.1397834648       508.8676696068     0.0020
       241         3405         3449       -76.0267720534      4903.0491799406    -38755.2079729673       508.8676696068     0.0018
       242         3425         3457       -76.0267720534      4936.6829107909    -38760.7875156772       508.9379265848     0.0019
       243         3446         3456       -76.0267720534      4950.6686008149    -38771.3254305748       509.0745860973     0.0019
       244         3453         3500       -76.0267720534      4959.4239678731    -38774.7071490210       509.1170859887     0.0019
       245         3471         3494       -76.0267720534      4988.5274183429    -38783.2602510457       509.2274713039     0.0019
       246         3487         3446       -76.0267720534      5011.5969734415    -38786.8985577016       509.2722404520     0.0020
       247         3518         3514       -76.0267720534      5045.1328145681    -38787.1171397584       509.2722404520     0.0019
       248         3536         3477       -76.0267720534      5056.6856161702    -38791.9027182596       509.3338044833     0.0020
       249         3536         3499       -76.0267720534      5072.6372102037    -38799.2821693723       509.4290906462     0.0019
       250         3565         3499       -76.0267720534      5096.0071878608    -38811.9213490366       509.5926108414     0.0019
       251         3575         3499       -76.0267720534      5111.7083407974    -38817.7081089851       509.6681628125     0.0019
       252         3590         3520       -76.0267720534      5144.4748576388    -38822.9716886976       509.7358860269     0.0020
       253         3613         3532       -76.0267720534      5168.5645242269    -38831.7432550603       509.8486792141     0.0020
       254         3633         3508       -76.0267720534      5181.1613329064    -38840.4786212688       509.9612461940     0.0020
       255         3651         3555       -76.0267720534      5208.3075413951    -38844.5334419475       510.0137206370     0.0019
       256         3676         3577       -76.0267720534      5235.9106998302    -38844.6352345752       510.0137206370     0.0020
       257         3702         3590       -76.0267720534      5264.6220955036    -38848.8148313894       510.0662823841     0.0020
       258         3721         3585       -76.0267720534      5273.8046584080    -38862.0160833185       510.2393578492     0.0020
       259         3741         3761       -76.0267720534      5302.9344005840    -38862.2259422896       510.2393578492     0.0020
       260         3771         3706       -76.0267720534      5340.7053046399    -38867.3553062009       510.3049386972     0.0021
       261         3800         3702       -76.0267720534      5369.6558507223    -38874.8834464097       510.4028905410     0.0020
       262         3817         3787       -76.0267720534      5396.3516250417    -38874.8751896547       510.4028905410     0.0021
       263         3846         3737       -76.0267720534      5431.1638900144    -38875.0178700802       510.4028905410     0.0021
       264         3870         3811       -76.0267720534      5451.5908982444    -38879.0369164571       510.4539340403     0.0021
       265         3888         3826       -76.0267720534      5472.6657661391    -38879.2056464814       510.4539340403     0.0021
       266         3910         3812       -76.0267720534      5504.7548093446    -38879.3692468520       510.4539340403     0.0021
