# Number of electrons: 6, number of orbitals: 6
# Variational ground state energy: -4.54631
# Size of the N electron space: 400
# Size of the N-1 electron space: 300
# Green's function matrix element: G_13
# Using eta: 0.01
#
#     w                            G
 -4.200e-01       ( -3.73503954e+00, -1.19522605e+00 )  
 -4.000e-01       ( -5.73691417e+00, -6.29413783e+00 )  
 -3.800e-01       (  5.06740393e+00, -4.74666585e+00 )  
 -3.600e-01       (  2.80125144e+00, -1.00956959e+00 )  
 -3.400e-01       (  1.68163609e+00, -4.03062418e-01 )  
 -3.200e-01       (  1.12455282e+00, -2.15276868e-01 )  
 -3.000e-01       (  7.94444693e-01, -1.34711671e-01 )  
 -2.800e-01       (  5.74807150e-01, -9.31950396e-02 )  
 -2.600e-01       (  4.16463965e-01, -6.91817884e-02 )  
 -2.400e-01       (  2.95312375e-01, -5.41699519e-02 )  
 -2.200e-01       (  1.98179903e-01, -4.42675145e-02 )  
 -2.000e-01       (  1.17246262e-01, -3.74936726e-02 )  
 -1.800e-01       (  4.75499321e-02, -3.27580852e-02 )  
 -1.600e-01       ( -1.42400404e-02, -2.94244543e-02 )  
 -1.400e-01       ( -7.04783044e-02, -2.71056904e-02 )  
 -1.200e-01       ( -1.22915766e-01, -2.55606161e-02 )  
 -1.000e-01       ( -1.72925290e-01, -2.46390463e-02 )  
 -8.000e-02       ( -2.21647591e-01, -2.42516922e-02 )  
 -6.000e-02       ( -2.70093214e-01, -2.43538342e-02 )  
 -4.000e-02       ( -3.19221508e-01, -2.49374547e-02 )  
 -2.000e-02       ( -3.70010382e-01, -2.60294708e-02 )  
  0.000e+00       ( -4.23528057e-01, -2.76955232e-02 )  
  2.000e-02       ( -4.81018308e-01, -3.00503526e-02 )  
  4.000e-02       ( -5.44014641e-01, -3.32778139e-02 )  
  6.000e-02       ( -6.14507602e-01, -3.76670646e-02 )  
  8.000e-02       ( -6.95207779e-01, -4.36784654e-02 )  
  1.000e-01       ( -7.89985297e-01, -5.20682393e-02 )  
  1.200e-01       ( -9.04650549e-01, -6.41383113e-02 )  
  1.400e-01       ( -1.04843885e+00, -8.22766991e-02 )  
  1.600e-01       ( -1.23707277e+00, -1.11247379e-01 )  
  1.800e-01       ( -1.49975652e+00, -1.61696157e-01 )  
  2.000e-01       ( -1.89740765e+00, -2.61544694e-01 )  
  2.200e-01       ( -2.57912088e+00, -5.04165130e-01 )  
  2.400e-01       ( -3.98855595e+00, -1.36067836e+00 )  
  2.600e-01       ( -5.87751997e+00, -7.37058271e+00 )  
  2.800e-01       (  5.28768177e+00, -4.55783263e+00 )  
  3.000e-01       (  2.85406991e+00, -1.02641497e+00 )  
  3.200e-01       (  1.67672973e+00, -4.32875145e-01 )  
  3.400e-01       (  1.05631602e+00, -2.48770070e-01 )  
  3.600e-01       (  6.54679818e-01, -1.73733332e-01 )  
  3.800e-01       (  3.49267020e-01, -1.41496832e-01 )  
  4.000e-01       (  8.16151762e-02, -1.32788542e-01 )  
  4.200e-01       ( -1.87931583e-01, -1.43924391e-01 )  
  4.400e-01       ( -5.02152355e-01, -1.82646266e-01 )  
  4.600e-01       ( -9.34111047e-01, -2.80511639e-01 )  
  4.800e-01       ( -1.66201256e+00, -5.66234287e-01 )  
  5.000e-01       ( -3.20747811e+00, -1.89220329e+00 )  
  5.200e-01       (  1.03923084e+00, -8.63466862e+00 )  
  5.400e-01       (  3.61145972e+00, -1.64783130e+00 )  
  5.600e-01       (  2.17672517e+00, -5.18858769e-01 )  
  5.800e-01       (  1.50290247e+00, -2.58354074e-01 )  
  6.000e-01       (  1.10864331e+00, -1.63923900e-01 )  
  6.200e-01       (  8.33081842e-01, -1.22648134e-01 )  
  6.400e-01       (  6.11033269e-01, -1.05384762e-01 )  
  6.600e-01       (  4.06778432e-01, -1.03807381e-01 )  
  6.800e-01       (  1.90811266e-01, -1.18917118e-01 )  
  7.000e-01       ( -7.70377949e-02, -1.63448705e-01 )  
  7.200e-01       ( -4.81267154e-01, -2.87490099e-01 )  
  7.400e-01       ( -1.26435549e+00, -7.60114313e-01 )  
  7.600e-01       ( -1.94367863e+00, -4.20493456e+00 )  
  7.800e-01       (  3.27880415e+00, -1.97421575e+00 )  
  8.000e-01       (  2.07820078e+00, -4.77250377e-01 )  
  8.200e-01       (  1.51535524e+00, -2.07816146e-01 )  
  8.400e-01       (  1.21595445e+00, -1.19128128e-01 )  
  8.600e-01       (  1.02655014e+00, -7.96251551e-02 )  
  8.800e-01       (  8.92177680e-01, -5.87837321e-02 )  
  9.000e-01       (  7.88806834e-01, -4.66456295e-02 )  
  9.200e-01       (  7.04130670e-01, -3.92364737e-02 )  
  9.400e-01       (  6.30926796e-01, -3.47847552e-02 )  
  9.600e-01       (  5.64296264e-01, -3.25129820e-02 )  
  9.800e-01       (  5.00239380e-01, -3.22375179e-02 )  
  1.000e+00       (  4.34600392e-01, -3.43470319e-02 )  
  1.020e+00       (  3.61724267e-01, -4.01959644e-02 )  
  1.040e+00       (  2.71689106e-01, -5.35870765e-02 )  
  1.060e+00       (  1.42504421e-01, -8.68138482e-02 )  
  1.080e+00       ( -8.74984823e-02, -1.95849359e-01 )  
  1.100e+00       ( -5.33857137e-01, -8.61820199e-01 )  
  1.120e+00       (  1.44374243e+00, -1.23022529e+00 )  
  1.140e+00       (  1.06446517e+00, -2.38920659e-01 )  
  1.160e+00       (  8.05434294e-01, -9.53376406e-02 )  
  1.180e+00       (  6.70031743e-01, -5.43040236e-02 )  
  1.200e+00       (  5.82465719e-01, -3.77227224e-02 )  
  1.220e+00       (  5.16702871e-01, -2.99421957e-02 )  
  1.240e+00       (  4.61438426e-01, -2.63836949e-02 )  
  1.260e+00       (  4.10328268e-01, -2.55433829e-02 )  
  1.280e+00       (  3.58481648e-01, -2.72257690e-02 )  
  1.300e+00       (  3.00380443e-01, -3.23660684e-02 )  
  1.320e+00       (  2.27146058e-01, -4.40952810e-02 )  
  1.340e+00       (  1.19808296e-01, -7.26262374e-02 )  
  1.360e+00       ( -7.37505291e-02, -1.63053722e-01 )  
  1.380e+00       ( -4.73362023e-01, -6.82733192e-01 )  
  1.400e+00       (  1.27406107e+00, -1.30146783e+00 )  
  1.420e+00       (  1.00894254e+00, -2.38366629e-01 )  
  1.440e+00       (  7.61140588e-01, -9.05150701e-02 )  
  1.460e+00       (  6.34564435e-01, -5.08792065e-02 )  
  1.480e+00       (  5.51548328e-01, -3.73967478e-02 )  
  1.500e+00       (  4.81524970e-01, -3.75842200e-02 )  
  1.520e+00       (  3.98076086e-01, -6.67510820e-02 )  
  1.540e+00       (  3.74903063e-01, -3.09064347e-01 )  
  1.560e+00       (  6.18476969e-01, -1.08800135e-01 )  
  1.580e+00       (  5.42071398e-01, -5.00771216e-02 )  
  1.600e+00       (  5.03477271e-01, -2.13257180e-02 )  
  1.620e+00       (  4.71851357e-01, -1.33493795e-02 )  
  1.640e+00       (  4.49313126e-01, -9.94847388e-03 )  
  1.660e+00       (  4.31663004e-01, -8.00972198e-03 )  
  1.680e+00       (  4.17077340e-01, -6.73163632e-03 )  
  1.700e+00       (  4.04626072e-01, -5.80906120e-03 )  
  1.720e+00       (  3.93773697e-01, -5.09909340e-03 )  
  1.740e+00       (  3.84186060e-01, -4.52494832e-03 )  
  1.760e+00       (  3.75644670e-01, -4.04069782e-03 )  
  1.780e+00       (  3.68003903e-01, -3.61595558e-03 )  
  1.800e+00       (  3.61168681e-01, -3.22831088e-03 )  
  1.820e+00       (  3.55084617e-01, -2.85864794e-03 )  
  1.840e+00       (  3.49734292e-01, -2.48761705e-03 )  
  1.860e+00       (  3.45141821e-01, -2.09133162e-03 )  
  1.880e+00       (  3.41387638e-01, -1.63425322e-03 )  
  1.900e+00       (  3.38642734e-01, -1.05397853e-03 )  
  1.920e+00       (  3.37246699e-01, -2.22313637e-04 )  
  1.940e+00       (  3.37911875e-01,  1.17571495e-03 )  
  1.960e+00       (  3.42326663e-01,  4.12613288e-03 )  
  1.980e+00       (  3.55322398e-01,  1.31826130e-02 )  
# Nummber of peaks: 7
# Peaks:  -4.00000e-01,   2.60000e-01,   5.20000e-01,   7.60000e-01,   1.12000e+00,   1.40000e+00,   1.54000e+00,  
