User:
nsb37
Hostname:

CPU info:
Architecture:          x86_64
CPU op-mode(s):        32-bit, 64-bit
Byte Order:            Little Endian
CPU(s):                16
On-line CPU(s) list:   0-15
Thread(s) per core:    2
Core(s) per socket:    8
Socket(s):             1
NUMA node(s):          1
Vendor ID:             GenuineIntel
CPU family:            6
Model:                 85
Model name:            Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz
Stepping:              4
CPU MHz:               1544.062
Computation started at:
Wed 25 Nov 11:20:40 GMT 2020
git commit: 2dc9da2c14d8b29bbb58a979480699b27e79f1a4, branch: master, compiled at: Wed 25 Nov 11:13:16 GMT 2020

Number of MPI processes used: 4

{
    "sampling": {
        "tau": "0.001",
        "maxIter": "30000",
        "seed": "100",
        "shiftDamping": "0.01",
        "initialShift": "0.0",
        "initialPop": "50.0",
        "targetPop": "1000.0",
        "mainMemoryFac": "10.0",
        "spawnMemoryFac": "10.0",
        "initiator": "true"
    }
}

Starting heat bath construction
Heat bath construction done
Hartree--Fock energy: -128.496

#  1. Iter     2. nDets  3. nSpawned           4. Shift_1        5. nWalkers_1      6. Energy_Num_1    7. Energy_Denom_1    8. Time
        60           56           10      -128.4963497305       104.2727251333     -6428.2377604560        50.0000000000     0.0001
        61           57            8      -128.4963497305       104.1627816217     -6428.2226883814        50.0000000000     0.0001
        62           57           10      -128.4963497305       104.2322614499     -6428.2171801018        50.0000000000     0.0001
        63           57           15      -128.4963497305       103.5258006541     -6428.1391642314        50.0000000000     0.0004
        64           58           11      -128.4963497305       104.4058697340     -6428.1575911393        50.0000000000     0.0001
        65           60           15      -128.4963497305       106.7895229694     -6428.2479913029        50.0000000000     0.0001
        66           60           14      -128.4963497305       108.9996247152     -6428.4383595332        50.0000000000     0.0001
        67           60           13      -128.4963497305       109.1207103376     -6428.4425946934        50.0000000000     0.0001
        68           61           16      -128.4963497305       110.1171745117     -6428.5190357518        50.0000000000     0.0001
        69           62           20      -128.4963497305       113.7869171478     -6428.8578502214        50.0000000000     0.0001
        70           62           10      -128.4963497305       113.6214739046     -6428.8437146542        50.0000000000     0.0001
        71           63           16      -128.4963497305       114.4641061717     -6428.8551727702        50.0000000000     0.0001
        72           64           11      -128.4963497305       115.3118244655     -6428.8452656856        50.0000000000     0.0001
        73           65           16      -128.4963497305       113.2512435997     -6428.6780994724        50.0000000000     0.0001
        74           65           18      -128.4963497305       115.0958942284     -6428.7235770961        50.0000000000     0.0001
        75           66           12      -128.4963497305       116.2233074932     -6428.8821272955        50.0000000000     0.0001
        76           67           16      -128.4963497305       118.1995129991     -6429.0387710558        50.0000000000     0.0001
        77           69            9      -128.4963497305       119.0252463208     -6429.0994706596        50.0000000000     0.0001
        78           69           14      -128.4963497305       119.9902353337     -6429.2190772604        50.0000000000     0.0001
        79           69           19      -128.4963497305       118.8170617977     -6429.1439855101        50.0000000000     0.0001
        80           70           16      -128.4963497305       122.1851805849     -6429.3141411636        50.0000000000     0.0001
        81           72           13      -128.4963497305       124.0080671448     -6429.3828640792        50.0000000000     0.0001
        82           72           14      -128.4963497305       121.9231206246     -6429.2674239922        50.0000000000     0.0001
        83           73           23      -128.4963497305       125.7467817231     -6429.3758748569        50.0000000000     0.0002
        84           76           14      -128.4963497305       128.5733981980     -6429.4720304112        50.0000000000     0.0001
        85           76           14      -128.4963497305       128.4126264000     -6429.4568176193        50.0000000000     0.0001
        86           77           20      -128.4963497305       129.9076771632     -6429.5039865837        50.0000000000     0.0001
        87           79           10      -128.4963497305       131.1451793725     -6429.5979457350        50.0000000000     0.0001
        88           81           17      -128.4963497305       132.9727866459     -6429.6445748264        50.0000000000     0.0001
        89           81           15      -128.4963497305       133.8153037373     -6429.6864742923        50.0000000000     0.0001
        90           81           16      -128.4963497305       132.6589815630     -6429.6098262658        50.0000000000     0.0001
        91           83           19      -128.4963497305       134.8869736739     -6429.6898691806        50.0000000000     0.0004
        92           83           13      -128.4963497305       135.0080740549     -6429.8040274031        50.0000000000     0.0002
        93           83           16      -128.4963497305       131.8408458823     -6429.6612429067        50.0000000000     0.0001
        94           83            8      -128.4963497305       130.6809353979     -6429.5280421309        50.0000000000     0.0001
        95           83           14      -128.4963497305       133.0744681118     -6429.7011883594        50.0000000000     0.0001
        96           83           15      -128.4963497305       133.8991639380     -6429.7170844068        50.0000000000     0.0001
        97           84           14      -128.4963497305       133.7374416063     -6429.6895189477        50.0000000000     0.0001
        98           84           20      -128.4963497305       135.4678228467     -6429.7863256753        50.0000000000     0.0002
        99           84           12      -128.4963497305       134.2765544339     -6429.7575156431        50.0000000000     0.0001
       100           84           14      -128.4963497305       134.0868820134     -6429.7420275433        50.0000000000     0.0001
       101           84           12      -128.4963497305       135.9044655990     -6429.9056460998        50.0000000000     0.0002
       102           84           11      -128.4963497305       135.7263345207     -6429.8908998772        50.0000000000     0.0001
       103           84           15      -128.4963497305       135.7103327993     -6429.8829511666        50.0000000000     0.0001
       104           85           12      -128.4963497305       136.8830380072     -6430.0591226217        50.0000000000     0.0002
       105           86           16      -128.4963497305       138.1171365718     -6430.1938139744        50.0000000000     0.0001
       106           86           17      -128.4963497305       138.3261452728     -6430.1820322851        50.0000000000     0.0002
       107           87           14      -128.4963497305       136.1335903530     -6429.8760833515        50.0000000000     0.0001
       108           87           19      -128.4963497305       136.8134704615     -6429.8316178432        50.0000000000     0.0001
       109           87           19      -128.4963497305       136.4974556932     -6429.8415870348        50.0000000000     0.0001
       110           88           13      -128.4963497305       138.2980126287     -6429.8922624737        50.0000000000     0.0001
       111           88           15      -128.4963497305       138.3130150219     -6429.8836854127        50.0000000000     0.0002
       112           89           21      -128.4963497305       141.5196089932     -6430.1894505503        50.0000000000     0.0001
       113           92           25      -128.4963497305       146.5097530822     -6430.3020571301        50.0000000000     0.0001
       114           92           12      -128.4963497305       145.4896299429     -6430.2721159996        50.0000000000     0.0002
       115           93           21      -128.4963497305       146.2644425171     -6430.2671746799        50.0000000000     0.0003
       116           93           15      -128.4963497305       145.0411250514     -6430.2072105459        50.0000000000     0.0002
       117           93           11      -128.4963497305       144.9778199319     -6430.1837878482        50.0000000000     0.0002
       118           93           18      -128.4963497305       146.0475080345     -6430.3394491850        50.0000000000     0.0001
       119           94           17      -128.4963497305       147.1329009181     -6430.4496357981        50.0000000000     0.0001
       120           94           16      -128.4963497305       145.9110213722     -6430.3457759492        50.0000000000     0.0001
       121           94           18      -128.4963497305       145.6681448921     -6430.2375918235        50.0000000000     0.0001
       122           94           16      -128.4963497305       145.7636939880     -6430.2429695691        50.0000000000     0.0002
       123           95           16      -128.4963497305       146.5440889023     -6430.2960709967        50.0000000000     0.0001
       124           98           21      -128.4963497305       148.4123738470     -6430.2990137324        50.0000000000     0.0001
       125          100           18      -128.4963497305       151.6585811934     -6430.4437176576        50.0000000000     0.0001
       126          100           16      -128.4963497305       152.0469796822     -6430.4678775802        50.0000000000     0.0001
       127          100           19      -128.4963497305       153.1365692038     -6430.5454843577        50.0000000000     0.0001
       128          102           18      -128.4963497305       154.8879540767     -6430.6020260428        50.0000000000     0.0001
       129          103           20      -128.4963497305       158.3499823292     -6430.7145145665        50.0000000000     0.0002
       130          103           12      -128.4963497305       158.2835477645     -6430.6977054573        50.0000000000     0.0001
       131          103           23      -128.4963497305       157.4161173247     -6430.6338675620        50.0000000000     0.0002
       132          104           19      -128.4963497305       159.6109975664     -6430.8129620251        50.0000000000     0.0001
       133          104           15      -128.4963497305       159.3500825385     -6430.7933511811        50.0000000000     0.0002
       134          105           24      -128.4963497305       161.0972304978     -6430.8722067168        50.0000000000     0.0002
       135          105           17      -128.4963497305       162.4926511572     -6431.0631491998        50.0000000000     0.0001
       136          105           18      -128.4963497305       161.3681872011     -6431.0086773474        50.0000000000     0.0002
       137          106           20      -128.4963497305       163.2205028643     -6431.1615063735        50.0000000000     0.0001
       138          106           24      -128.4963497305       164.2293203194     -6431.3127354209        50.0000000000     0.0003
       139          107           22      -128.4963497305       162.9507903419     -6431.1809229259        50.0000000000     0.0001
       140          108           17      -128.4963497305       163.6759529705     -6431.2186315149        50.0000000000     0.0002
       141          110           16      -128.4963497305       165.7376169697     -6431.3280011522        50.0000000000     0.0001
       142          111           24      -128.4963497305       166.4680776651     -6431.3857692001        50.0000000000     0.0002
       143          112           24      -128.4963497305       169.4850419969     -6431.5996649261        50.0000000000     0.0002
       144          113           25      -128.4963497305       171.3757971462     -6431.6854927320        50.0000000000     0.0002
       145          114           17      -128.4963497305       171.9669686201     -6431.7488480543        50.0000000000     0.0001
       146          115           12      -128.4963497305       173.4517400432     -6431.8370710344        50.0000000000     0.0002
       147          116           24      -128.4963497305       176.7374514056     -6624.4608916949        51.4984037372     0.0001
       148          117           28      -128.4963497305       177.7074315553     -6624.4850319099        51.4984037372     0.0002
       149          119           29      -128.4963497305       180.7122946405     -6624.6686786243        51.4984037372     0.0001
       150          119            8      -128.4963497305       180.9091286346     -6624.6716334236        51.4984037372     0.0002
       151          120           25      -128.4963497305       180.6523877911     -6624.6466658648        51.4984037372     0.0002
       152          120           16      -128.4963497305       179.8798622186     -6624.6635243794        51.4984037372     0.0002
       153          120           21      -128.4963497305       180.5619443641     -6624.7165212436        51.4984037372     0.0002
       154          121           18      -128.4963497305       180.7962426307     -6624.7986240420        51.4984037372     0.0001
       155          121           24      -128.4963497305       179.4866593757     -6624.7291462020        51.4984037372     0.0002
       156          121           24      -128.4963497305       177.5298574660     -6624.6390112372        51.4984037372     0.0001
       157          122           26      -128.4963497305       178.2256022657     -6624.6363760214        51.4984037372     0.0002
       158          122           26      -128.4963497305       177.9358315725     -6624.6118281583        51.4984037372     0.0001
       159          122           14      -128.4963497305       176.6320911686     -6624.5271343832        51.4984037372     0.0002
       160          122           16      -128.4963497305       176.8290270493     -6624.3730841276        51.4984037372     0.0001
       161          122           25      -128.4963497305       177.5312440334     -6624.3959598178        51.4984037372     0.0003
       162          122           16      -128.4963497305       178.2397135617     -6624.4015344825        51.4984037372     0.0001
       163          123           17      -128.4963497305       179.2383141972     -6624.4810352873        51.4984037372     0.0002
       164          123           19      -128.4963497305       174.9371152618     -6624.2890983268        51.4984037372     0.0001
       165          123           23      -128.4963497305       174.0185603121     -6624.2513020856        51.4984037372     0.0002
       166          123           25      -128.4963497305       177.0917522174     -6624.5887972935        51.4984037372     0.0001
       167          123           26      -128.4963497305       178.1530488207     -6624.7026975372        51.4984037372     0.0002
       168          123           28      -128.4963497305       176.1553896038     -6624.5770184999        51.4984037372     0.0001
       169          123           28      -128.4963497305       176.8123175184     -6624.5037272748        51.4984037372     0.0002
       170          123           21      -128.4963497305       177.0267475609     -6624.5406179800        51.4984037372     0.0002
       171          123           24      -128.4963497305       177.4274698224     -6683.7865072485        51.9596419941     0.0001
       172          123           15      -128.4963497305       176.1096396020     -6683.7165208749        51.9596419941     0.0002
       173          123           20      -128.4963497305       173.9540880377     -6683.6278804648        51.9596419941     0.0001
